Y1,YY1,INCOME,DEBT,LIQ,ASSET,NETWORTH,CCBAL,CONSPAY,FOODHOME,FOODAWAY,AGE,EDUC,FAMSTRUCT,HOUSECL,FINLIT,DEBT2INC,EXPENSHILO,WGT
000901,90,105023.63,186259.96,28057.24,611691.65,425431.68,4681.27,3908.49,9206.5,3261.16,56,12,5,2,2,1.7735,1,38966.78
000911,91,72212.6,4222.04,15102.99,57927.85,53705.81,337.59,68.97,5302.25,2124.74,35,13,1,1,3,0.0585,2,12368.34
000921,92,158226.13,92196.41,5054.59,5404.84,-86791.57,0.0,2407.09,9016.61,233.7,89,14,4,1,0,0.5827,2,37495.95
000931,93,35177.16,8923.37,6684.67,115216.59,106293.23,8734.69,102.07,8098.13,6163.83,66,13,2,1,3,0.2537,2,5346.65
000941,94,49271.65,65574.12,5024.39,110237.24,44663.11,944.4,788.05,5579.34,4629.26,37,12,5,1,1,1.3309,3,37782.49
000951,95,46495.12,24791.5,2261.81,5903.3,-18888.2,0.0,172.02,5853.7,1963.8,39,11,2,1,3,0.5332,1,5383.22
000961,96,17726.86,1733.62,4892.47,22070.83,20337.21,0.0,32.01,3663.91,4311.51,60,11,2,1,2,0.0978,2,39259.59
000971,97,86379.72,70943.89,11890.74,27974.51,-42969.37,7994.67,1003.69,4648.21,1761.43,42,12,2,1,1,0.8213,1,44591.75
000981,98,83696.27,77946.71,3916.32,23581.38,-54365.33,0.0,1051.71,6289.39,3423.43,44,13,4,2,0,0.9313,1,41964.91
000991,99,66476.39,8424.64,10462.8,379688.65,371264.01,0.0,138.51,5186.67,4687.02,68,15,1,1,3,0.1267,2,19381.65
001001,100,53576.81,11071.6,1090.07,48981.11,37909.5,3151.8,290.54,7596.85,4427.96,39,17,4,1,3,0.2066,3,48831.23
001011,101,18511.85,2456.78,1657.38,33201.66,30744.88,0.0,18.74,7141.29,2687.13,63,16,1,2,2,0.1327,3,27365.4
001021,102,45316.17,71325.14,1310.58,323722.39,252397.24,0.0,1290.26,6418.09,5132.66,81,16,5,2,0,1.5739,1,20824.15
001031,103,48608.66,7796.54,1777.15,127649.25,119852.71,499.57,77.27,7196.01,3521.13,29,16,2,1,2,0.1604,3,30368.75
001041,104,32143.02,19451.5,49857.58,54253.94,34802.45,427.3,200.54,6680.88,2445.96,30,14,2,2,3,0.6052,2,17331.86
001051,105,57230.53,29938.81,18158.06,41901.57,11962.76,267.59,341.85,5973.89,6850.71,82,12,4,2,3,0.5231,2,11380.44
001061,106,95191.48,8643.05,707.36,97753.63,89110.58,1079.06,142.48,4452.98,1251.84,35,14,4,2,3,0.0908,2,10677.06
001071,107,361337.36,62014.95,10802.11,25554.57,-36460.38,781.4,1076.58,9623.35,4299.61,20,11,3,2,3,0.1716,2,10964.56
001081,108,77429.26,6471.66,2433.17,1259550.95,1253079.29,2386.81,173.36,7242.65,6333.57,75,14,2,2,2,0.0836,3,13729.79
001091,109,83432.68,61341.69,1439.01,72359.74,11018.05,1189.32,1674.8,6658.24,95.97,40,9,3,1,2,0.7352,2,44663.44
001101,110,61882.87,11912.85,338.89,19678.98,7766.13,1558.63,234.29,4391.48,6773.34,41,12,1,1,2,0.1925,2,22021.44
001111,111,11767.61,166.11,28267.09,39376.91,39210.8,0.0,2.0,10779.37,6879.42,36,15,5,1,2,0.0141,3,3004.6
001121,112,64610.84,16350.38,422.02,241118.35,224767.97,507.58,416.3,4539.13,2562.81,80,12,2,1,3,0.2531,2,17282.4
001131,113,69857.11,63154.6,4475.92,27132.53,-36022.07,0.0,1567.63,6058.55,4078.78,68,13,2,1,2,0.9041,2,49816.85
001141,114,607384.86,56834.12,894.84,106756.27,49922.14,891.51,1417.95,6135.05,2027.22,57,16,5,2,2,0.0936,3,37601.27
001151,115,55652.1,5548.67,19861.12,30504.79,24956.12,2389.97,30.01,3274.69,1849.8,49,9,2,2,0,0.0997,1,26680.48
001161,116,86802.67,259.83,2692.34,69214.92,68955.09,3999.24,6.2,6872.59,1236.24,30,9,5,1,1,0.003,3,8985.81
001171,117,64135.89,4773.53,3858.24,26925.54,22152.01,0.0,125.63,6663.64,6888.64,81,12,3,2,1,0.0744,2,24412.04
001181,118,23113.91,5172.38,4099.74,41405.7,36233.32,2172.65,104.1,3847.39,3035.36,66,15,3,1,2,0.2238,2,33064.29
001191,119,185079.46,22395.56,8472.89,26607.52,4211.96,0.0,532.59,7453.17,728.36,39,12,1,1,1,0.121,2,46182.04
001201,120,130188.64,18291.65,5031.17,283884.0,265592.35,4612.41,446.39,4051.34,5577.14,83,16,3,2,2,0.1405,1,26123.24
001211,121,134851.41,31304.28,4546.48,33213.25,1908.97,512.38,552.98,5347.84,4846.64,82,13,1,1,1,0.2321,1,28760.63
001221,122,29189.12,19105.89,1933.09,50215.1,31109.21,0.0,484.15,4432.17,4251.66,60,12,4,1,1,0.6546,2,29682.17
001231,123,233868.64,12361.06,288.73,52199.76,39838.7,3341.67,306.64,7206.23,2183.33,87,12,1,2,2,0.0529,2,47687.1
001241,124,18738.47,14737.37,656.29,672919.48,658182.1,0.0,411.21,6995.07,2693.29,33,14,2,1,3,0.7865,3,18927.33
001251,125,112214.94,48587.65,17912.67,245539.5,196951.86,0.0,1362.12,3732.97,7645.2,65,16,2,1,3,0.433,3,43445.8
001261,126,475161.52,109957.7,2834.23,198863.87,88906.17,783.35,2005.94,4803.73,4270.36,31,13,4,2,3,0.2314,3,23273.31
001271,127,27133.31,10469.54,1487.4,7102.25,-3367.3,0.0,60.59,4833.22,2442.58,62,12,3,2,3,0.3859,3,37819.6
001281,128,39748.69,23338.8,391.38,22759.94,-578.87,667.98,127.84,7292.24,4986.9,80,13,4,1,0,0.5872,1,25706.27
001291,129,72380.07,25826.16,222.44,356308.62,330482.46,3586.11,735.35,4570.74,5187.43,53,17,1,1,3,0.3568,3,29051.2
001301,130,42060.82,49383.47,1386.07,11724.3,-37659.17,104.55,663.42,5749.89,7126.53,67,12,1,1,1,1.1741,3,18469.9
001311,131,16389.61,1168.26,24306.4,92221.96,91053.69,57.49,16.87,5530.62,3631.13,30,15,2,1,3,0.0713,2,22488.44
001321,132,70382.97,51661.29,1803.12,13917.01,-37744.29,1802.07,865.21,5342.96,4964.96,59,12,1,2,1,0.734,1,27691.18
001331,133,25436.15,7988.43,10105.89,24187.7,16199.27,3206.05,93.03,9441.3,4562.82,24,15,4,2,2,0.3141,1,31401.92
001341,134,101339.67,65742.24,1659.87,746688.91,680946.67,0.0,1299.09,4645.03,2071.24,21,16,2,1,3,0.6487,1,20404.37
001351,135,28926.64,18220.98,15521.17,191638.54,173417.56,4330.28,448.52,5544.23,768.31,59,14,1,2,3,0.6299,1,42206.5
001361,136,266983.19,10200.86,2609.33,264245.55,254044.69,413.43,116.63,6725.9,4742.98,55,17,5,1,0,0.0382,2,36795.99
001371,137,32698.09,26471.32,535.18,194534.95,168063.62,0.0,624.1,5150.01,4884.86,42,15,5,2,0,0.8096,1,24221.99
001381,138,49520.63,38775.67,3028.69,51613.56,12837.89,0.0,845.33,4823.79,0.0,52,17,3,1,3,0.783,1,37541.43
001391,139,137608.16,99903.11,133412.45,154630.45,54727.34,4186.04,1812.2,6678.53,4559.84,62,15,2,1,0,0.726,1,3313.76
001401,140,21855.81,2359.02,123228.02,155984.78,153625.76,4890.71,30.99,7566.12,3341.95,59,15,2,1,3,0.1079,2,30897.01
001411,141,81203.53,40426.32,11798.88,56701.9,16275.58,205.13,1084.21,8605.22,4371.27,25,16,1,2,3,0.4978,3,27694.77
001421,142,214577.98,23191.42,3840.26,863617.92,840426.5,641.83,349.49,5604.15,2537.4,61,8,4,1,0,0.1081,3,27182.39
001431,143,15572.55,1855.69,8493.22,16559.64,14703.95,6694.82,26.66,4459.37,6408.86,60,12,2,2,1,0.1192,1,31366.17
001441,144,78133.21,16359.74,8693.53,34788.76,18429.02,1611.57,344.12,4444.9,5560.0,61,12,1,2,0,0.2094,1,40714.72
001451,145,83608.0,5121.38,4574.28,19797.16,14675.78,1943.01,143.44,8805.52,721.65,73,11,1,1,0,0.0613,3,5165.34
001461,146,133738.35,9846.8,10869.32,302993.65,293146.85,551.85,174.29,6650.16,1540.86,56,17,3,2,2,0.0736,3,9995.16
001471,147,21736.42,10051.2,7149.58,972920.93,962869.73,15832.48,231.85,4361.41,3620.58,82,11,1,1,3,0.4624,2,3451.28
001481,148,20162.69,8723.91,2782.9,97930.02,89206.1,0.0,143.26,4641.27,2262.33,87,12,1,1,2,0.4327,3,14175.4
001491,149,105846.73,46369.37,571.66,108209.09,61839.72,0.0,485.5,3778.48,5662.84,66,12,3,2,2,0.4381,1,48949.74
001501,150,86446.95,430.73,2147.14,70811.22,70380.48,2400.42,3.49,5841.94,1475.36,44,15,1,1,1,0.005,3,20552.19
001511,151,82904.41,46164.51,20725.79,136132.58,89968.07,0.0,388.16,6964.7,5645.46,30,16,1,2,1,0.5568,3,30109.44
001521,152,90382.27,5772.14,4644.17,195587.65,189815.51,1689.17,31.94,9091.44,0.0,71,15,1,1,2,0.0639,3,49534.85
001531,153,35881.52,6193.88,8438.13,121813.65,115619.77,1722.44,116.58,8169.26,2690.45,30,15,4,1,3,0.1726,1,32481.94
001541,154,81554.63,1805.78,2952.99,129485.11,127679.33,1430.95,14.95,6073.08,6276.92,30,13,5,2,2,0.0221,1,11041.17
001551,155,86143.11,82308.05,729.77,192321.41,110013.36,87.76,2192.89,4615.88,3385.34,80,17,5,1,3,0.9555,1,40837.34
001561,156,34789.95,23239.05,3198.59,7355.73,-15883.31,0.0,687.24,6917.78,3555.54,55,12,2,2,0,0.668,3,28941.24
001571,157,354760.1,275565.78,780.22,60835.06,-214730.72,0.0,4793.94,2460.24,5055.78,40,13,5,1,3,0.7768,3,49781.85
001581,158,101361.6,49227.73,695.53,95333.46,46105.73,2271.88,799.55,4424.14,4555.23,85,16,1,1,2,0.4857,1,38488.15
001591,159,22648.0,242.1,43051.22,154823.88,154581.79,0.0,3.32,7270.36,3275.63,63,12,3,1,3,0.0107,2,49756.29
001601,160,119479.28,54739.23,2307.33,48643.15,-6096.08,4599.08,1146.82,7751.93,6136.64,53,16,4,1,3,0.4581,1,44866.76
001611,161,27523.25,14786.45,1293.79,77494.59,62708.14,0.0,298.7,8616.96,3758.44,42,13,1,2,3,0.5372,2,11560.67
001621,162,134373.18,93378.82,90429.65,110765.49,17386.67,2415.06,1268.51,5773.68,4584.95,61,12,1,1,2,0.6949,1,38159.26
001631,163,187725.49,10014.42,21310.88,25489.49,15475.07,0.0,135.99,8592.64,5390.13,65,13,5,1,2,0.0533,3,26410.7
001641,164,31614.97,18429.49,2518.16,264153.15,245723.66,369.5,389.23,5231.88,0.0,64,16,4,2,2,0.5829,2,9099.25
001651,165,157477.6,55222.74,10612.05,21533.05,-33689.7,0.0,1041.7,5073.85,2061.23,34,11,1,2,2,0.3507,3,29687.88
001661,166,95942.36,61437.68,3214.99,50281.61,-11156.07,0.0,1410.85,6614.79,2320.6,63,14,2,2,3,0.6404,2,7403.23
001671,167,138670.26,53028.57,1412.58,20876.27,-32152.3,788.04,1513.16,8285.03,4817.58,56,15,3,1,3,0.3824,3,38814.59
001681,168,364803.34,58024.06,11550.04,658816.88,600792.82,425.74,1421.0,7878.12,6986.56,74,16,5,2,0,0.1591,1,19978.41
001691,169,53058.52,14013.12,2741.49,55873.4,41860.28,0.0,176.69,8066.89,0.0,58,13,4,1,1,0.2641,2,41019.96
001701,170,33578.37,2823.86,5630.18,43213.49,40389.63,0.0,67.71,7053.45,2667.91,30,14,3,1,2,0.0841,2,35067.04
001711,171,29715.88,33926.96,30898.22,214734.12,180807.16,4648.13,551.33,7918.14,5688.47,42,16,5,1,3,1.1417,1,44283.13
001721,172,31753.9,19207.44,25341.12,1546086.65,1526879.2,3108.03,469.46,6056.12,20.34,66,12,3,1,1,0.6049,1,11736.15
001731,173,61735.13,5637.62,1825.91,111858.76,106221.15,0.0,153.14,6631.49,4266.66,65,17,5,2,2,0.0913,3,33319.78
001741,174,89952.48,151670.81,11788.23,45779.9,-105890.91,0.0,1706.07,11574.28,4411.13,36,13,2,2,2,1.6861,1,43602.18
001751,175,84882.37,4665.63,645.39,170872.88,166207.25,0.0,51.16,7757.39,4575.05,44,12,4,2,2,0.055,3,13707.42
001761,176,139311.11,7824.34,11056.19,16715.07,8890.73,0.0,123.75,6040.03,1251.56,19,8,3,1,3,0.0562,3,39811.09
001771,177,66950.02,30573.93,6420.76,70613.4,40039.47,0.0,192.26,7606.44,3419.1,42,11,3,1,3,0.4567,2,16387.88
001781,178,244796.04,83787.7,9722.16,1201475.86,1117688.16,427.65,1855.24,3888.92,1096.16,20,16,2,1,2,0.3423,2,41328.88
001791,179,52146.32,25296.99,2877.28,78735.48,53438.49,3168.35,600.61,5356.94,5714.59,76,15,5,1,3,0.4851,3,27229.56
001801,180,765398.77,454516.06,209259.06,279639.21,-174876.85,98.49,6197.67,5594.16,1371.5,61,12,1,1,3,0.5938,3,34309.15
001811,181,116203.78,94773.57,970.35,62726.87,-32046.7,0.0,1576.29,4565.66,3575.0,85,17,1,2,2,0.8156,1,20372.75
001821,182,30593.97,5278.41,28248.43,61331.78,56053.37,3852.77,104.3,9540.03,7681.71,77,16,4,2,1,0.1725,3,41815.8
001831,183,25240.29,10190.49,767.35,96732.08,86541.59,0.0,69.7,6948.3,5755.37,57,12,2,1,3,0.4037,3,8788.69
001841,184,102152.82,62671.46,12183.28,203734.3,141062.84,0.0,1427.81,7170.09,0.0,52,12,1,1,3,0.6135,3,12092.1
001851,185,54115.91,10359.39,13855.28,50253.31,39893.93,856.38,188.2,5791.7,2892.4,77,12,5,1,1,0.1914,1,7224.68
001861,186,125819.1,141418.87,5425.99,6853.77,-134565.1,0.0,2914.16,3694.35,3631.69,41,15,1,1,3,1.124,2,47630.48
001871,187,101307.31,79196.78,2015.08,122397.2,43200.42,241.09,1829.11,5873.93,3120.08,36,15,1,1,0,0.7817,1,24915.56
001881,188,61972.99,3762.78,6336.25,1474743.87,1470981.08,0.0,82.36,5154.85,4276.63,47,13,1,1,0,0.0607,1,25442.18
001891,189,30880.67,4188.22,7947.55,41998.32,37810.1,247.02,30.92,3968.02,4731.32,23,15,5,2,2,0.1356,3,17170.02
001901,190,16926.53,7047.78,123239.6,129829.24,122781.47,5458.89,173.13,7518.93,7166.84,41,17,2,1,2,0.4164,1,25076.03
001911,191,44273.28,20064.74,1022.28,166421.85,146357.1,3259.54,406.33,5467.57,2565.59,26,15,1,1,2,0.4532,1,14049.43
001921,192,143022.74,4466.76,1806.88,820732.38,816265.62,1616.57,102.16,2439.49,4986.6,23,15,3,1,2,0.0312,2,47727.32
001931,193,80232.53,9891.41,8205.21,140668.43,130777.02,0.0,114.12,6001.53,3136.37,54,13,2,2,1,0.1233,2,15382.33
001941,194,21565.18,6715.94,3099.83,798857.58,792141.63,0.0,70.76,6038.58,6636.75,63,8,5,1,2,0.3114,2,46496.02
001951,195,77331.98,50795.58,4104.86,201015.01,150219.43,0.0,1303.02,7507.99,4282.45,53,17,5,1,3,0.6569,2,25942.27
